=== 简单建图数据 ===
总步数: 329
总时间: 427.07秒

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
185,417.86,1.850,0.000,0.784,1.49,3.13,1.86,1.30,1.30
186,417.92,1.860,0.000,0.784,1.49,3.14,1.85,1.30,1.30
187,417.98,1.870,0.000,0.784,1.49,3.08,1.85,1.30,1.30
188,418.05,1.880,0.000,0.784,1.49,3.14,1.86,1.33,1.33
189,418.11,1.890,0.000,0.784,1.48,3.15,1.85,1.31,1.31
190,418.18,1.900,0.000,0.784,1.48,3.15,1.86,1.33,1.33
191,418.24,1.910,0.000,0.784,1.46,3.14,1.85,1.33,1.33
192,418.30,1.920,0.000,0.784,1.47,3.11,1.85,1.33,1.33
193,418.37,1.930,0.000,0.784,1.46,3.16,1.85,1.34,1.34
194,418.43,1.940,0.000,0.784,1.46,3.18,1.84,1.34,1.34
195,418.50,1.950,0.000,0.784,1.45,3.17,1.84,1.33,1.33
196,418.56,1.960,0.000,0.784,1.45,0.67,1.84,1.35,0.67
197,418.62,1.970,0.000,0.784,1.43,0.66,1.83,1.35,0.66
198,418.69,1.980,0.000,0.784,1.44,0.67,1.83,1.35,0.67
199,418.75,1.990,0.000,0.784,1.43,0.66,1.83,1.35,0.66
200,418.82,2.000,0.000,0.784,1.43,0.66,1.83,1.36,0.66
201,418.88,2.010,0.000,0.784,1.42,0.66,1.82,1.38,0.66
202,418.94,2.020,0.000,0.784,1.43,0.65,1.82,1.37,0.65
203,419.01,2.030,0.000,0.784,1.43,0.65,1.83,1.38,0.65
204,419.07,2.040,0.000,0.784,1.43,0.66,1.84,1.39,0.66
205,419.14,2.050,0.000,0.831,1.45,0.69,1.78,1.44,0.69
206,419.20,2.060,0.000,0.879,1.46,3.24,1.72,2.50,1.46
207,419.26,2.070,0.000,0.926,1.48,inf,1.69,2.37,1.48
208,419.33,2.080,0.000,0.974,1.50,inf,0.65,2.50,0.65
209,419.39,2.090,0.000,1.022,1.54,inf,0.63,inf,0.63
210,419.46,2.100,0.000,1.069,1.57,inf,0.62,inf,0.62
211,419.52,2.110,0.000,1.117,1.60,inf,0.60,inf,0.60
212,419.58,2.120,0.000,1.117,1.60,inf,0.59,inf,0.59
213,419.65,2.130,0.000,1.117,1.59,inf,0.59,inf,0.59
214,419.71,2.140,0.000,1.116,1.60,inf,0.60,inf,0.60
215,419.78,2.150,0.000,1.116,1.60,inf,0.59,inf,0.59
216,419.84,2.160,0.000,1.116,1.59,inf,0.60,inf,0.60
217,419.90,2.170,0.000,1.116,1.59,inf,0.59,inf,0.59
218,419.97,2.180,0.000,1.116,1.59,inf,0.59,inf,0.59
219,420.03,2.190,0.000,1.116,1.58,inf,0.59,inf,0.59
220,420.10,2.200,0.000,1.116,1.57,inf,0.58,inf,0.58
221,420.16,2.210,0.000,1.116,1.57,inf,0.58,inf,0.58
222,420.22,2.220,0.000,1.116,1.57,inf,0.59,inf,0.59
223,420.29,2.230,0.000,1.116,1.57,inf,0.58,inf,0.58
224,420.35,2.240,0.000,1.116,1.56,inf,0.57,inf,0.57
225,420.42,2.250,0.000,1.116,1.56,inf,0.58,inf,0.58
226,420.48,2.260,0.000,1.116,1.55,inf,0.58,inf,0.58
227,420.54,2.270,0.000,1.116,1.55,inf,0.58,inf,0.58
228,420.61,2.280,0.000,1.116,1.55,inf,0.57,inf,0.57
229,420.67,2.290,0.000,1.116,1.54,inf,0.57,inf,0.57
230,420.74,2.300,0.000,1.116,1.54,inf,0.57,inf,0.57
231,420.80,2.310,0.000,1.116,1.53,inf,0.56,inf,0.56
232,420.86,2.320,0.000,1.116,1.53,inf,0.57,inf,0.57
233,420.93,2.330,0.000,1.116,1.51,inf,0.55,inf,0.55
234,420.99,2.340,0.000,1.116,1.52,inf,0.55,inf,0.55
235,421.06,2.350,0.000,1.116,1.51,inf,0.55,inf,0.55
236,421.12,2.360,0.000,1.116,1.51,inf,0.56,inf,0.56
237,421.18,2.370,0.000,1.116,1.51,inf,0.55,inf,0.55
238,421.25,2.380,0.000,1.116,1.51,inf,0.55,inf,0.55
239,421.31,2.390,0.000,1.116,1.49,inf,0.54,inf,0.54
240,421.38,2.400,0.000,1.116,1.49,inf,0.54,inf,0.54
241,421.44,2.410,0.000,1.116,1.49,inf,0.54,inf,0.54
242,421.50,2.420,0.000,1.116,1.48,inf,0.53,inf,0.53
243,421.57,2.430,0.000,1.116,1.48,inf,0.54,inf,0.54
244,421.63,2.440,0.000,1.116,1.48,inf,0.54,inf,0.54
245,421.70,2.450,0.000,1.116,1.47,inf,0.53,inf,0.53
246,421.76,2.460,0.000,1.116,1.47,inf,0.53,inf,0.53
247,421.82,2.470,0.000,1.116,1.46,inf,0.53,inf,0.53
248,421.89,2.480,0.000,1.116,1.46,inf,0.53,inf,0.53
249,421.95,2.490,0.000,1.116,1.46,inf,0.53,inf,0.53
250,422.02,2.500,0.000,1.116,1.44,inf,0.52,inf,0.52
251,422.08,2.510,0.000,1.116,1.44,inf,0.52,inf,0.52
252,422.14,2.520,0.000,1.116,1.45,inf,0.52,inf,0.52
253,422.21,2.530,0.000,1.116,1.44,inf,0.53,inf,0.53
254,422.27,2.540,0.000,1.116,1.42,inf,0.53,inf,0.53
255,422.34,2.550,0.000,1.116,1.43,inf,0.55,inf,0.55
256,422.40,2.560,0.000,1.116,1.43,inf,0.56,inf,0.56
257,422.46,2.570,0.000,1.116,1.42,inf,0.57,inf,0.57
258,422.53,2.580,0.000,1.116,1.41,inf,0.58,inf,0.58
259,422.59,2.590,0.000,1.116,1.41,inf,0.57,inf,0.57
260,422.66,2.600,0.000,1.116,1.41,inf,0.59,inf,0.59
261,422.72,2.610,0.000,1.116,1.40,0.65,0.60,inf,0.60
262,422.78,2.620,0.000,1.116,1.40,0.65,0.62,inf,0.62
263,422.85,2.630,0.000,1.116,1.40,0.66,0.61,inf,0.61
264,422.91,2.640,0.000,1.116,1.40,0.63,0.62,inf,0.62
265,422.98,2.650,0.000,1.116,1.38,0.63,0.64,inf,0.63
266,423.04,2.660,0.000,1.116,1.39,0.61,0.64,inf,0.61
267,423.10,2.670,0.000,1.116,1.38,0.61,0.66,inf,0.61
268,423.17,2.680,0.000,1.116,1.37,0.61,0.67,inf,0.61
269,423.23,2.690,0.000,1.116,1.37,0.61,0.67,inf,0.61
270,423.30,2.700,0.000,1.116,1.37,0.60,0.66,inf,0.60
271,423.36,2.710,0.000,1.116,1.37,0.59,0.65,inf,0.59
272,423.42,2.720,0.000,1.116,1.37,0.60,0.65,inf,0.60
273,423.49,2.730,0.000,1.116,1.38,0.62,0.65,inf,0.62
274,423.55,2.740,0.000,1.116,1.38,0.62,0.63,inf,0.62
275,423.62,2.750,0.000,1.116,1.39,0.62,0.62,inf,0.62
276,423.68,2.760,0.000,1.116,1.40,0.65,0.63,inf,0.63
277,423.74,2.770,0.000,1.116,1.40,0.66,0.62,inf,0.62
278,423.81,2.780,0.000,1.116,1.40,0.66,0.60,inf,0.60
279,423.87,2.790,0.000,1.116,1.41,inf,0.59,inf,0.59
280,423.94,2.800,0.000,1.116,1.42,inf,0.58,inf,0.58
281,424.00,2.810,0.000,1.116,1.42,inf,0.57,inf,0.57
282,424.06,2.820,0.000,1.116,1.41,inf,0.56,inf,0.56
283,424.13,2.830,0.000,1.116,1.43,inf,0.56,inf,0.56
284,424.19,2.840,0.000,1.116,1.42,inf,0.55,inf,0.55
285,424.26,2.850,0.000,1.116,1.43,inf,0.55,inf,0.55
286,424.32,2.860,0.000,1.116,1.43,inf,0.57,inf,0.57
287,424.38,2.870,0.000,1.116,1.42,inf,0.57,inf,0.57
288,424.45,2.880,0.000,1.116,1.41,inf,0.58,inf,0.58
289,424.51,2.890,0.000,1.116,1.41,inf,0.60,inf,0.60
290,424.58,2.900,0.000,1.116,1.41,0.67,0.60,inf,0.60
291,424.64,2.910,0.000,1.116,1.40,0.66,0.62,inf,0.62
292,424.70,2.920,0.000,1.116,1.40,0.65,0.61,inf,0.61
293,424.77,2.930,0.000,1.116,1.40,0.63,0.62,inf,0.62
294,424.83,2.940,0.000,1.116,1.38,0.61,0.62,inf,0.61
295,424.90,2.950,0.000,1.116,1.38,0.61,0.64,inf,0.61
296,424.96,2.960,0.000,1.116,1.38,0.61,0.65,inf,0.61
297,425.02,2.970,0.000,1.116,1.37,0.59,0.65,inf,0.59
298,425.09,2.980,0.000,1.116,1.37,0.58,0.66,inf,0.58
299,425.15,2.990,0.000,1.116,1.37,0.57,0.67,inf,0.57
